ID_INMUEBLE,ID _ESTADO,ESTADO,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,DENOMINACIÓN_INMUEBLE,TIPO_VIALIDAD,NOMBRE_VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,TIPO_ASENTAMIENTO,ID_LOCALIDAD,NOMBRE_LOCALIDAD,ID_MUNICIPIO,MUNICIPIO,CODIGO_POSTAL,NATURALEZA_INMUEBLE,TIPO_INMUEBLE,USO_INMUEBLE,OPERACION_ORIGEN,VALOR_CATASTRAL,TITULO_PROPIEDAD
631,13,Hidalgo,Oficialía Mayor,Preescolar General Tzindejeh,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42391,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,1194637.652,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
632,13,Hidalgo,Oficialía Mayor,Primaria General Emiliano Zapata,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42391,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,8038371.721,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
633,13,Hidalgo,Oficialía Mayor,Telesecundaria 534,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42391,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,5793037.897,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
634,13,Hidalgo,Oficialía Mayor,Preescolar General Octavio Paz,Calle,A un lado de la Telesecundaria ,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42393,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,1616819.162,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
635,13,Hidalgo,Oficialía Mayor,Primaria General Aquíles Serdán,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42393,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,5966419.05,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
636,13,Hidalgo,Oficialía Mayor,Telesecundaria 389,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42393,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,3786606.06,
637,13,Hidalgo,Oficialía Mayor,Preescolar General Juana de Arco,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42390,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,2079871.368,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
638,13,Hidalgo,Oficialía Mayor,Primaria General Narciso Mendoza,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42390,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,9767457.574,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
639,13,Hidalgo,Oficialía Mayor,Primaria General 18 de Marzo,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42391,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,5883081.148,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
640,13,Hidalgo,Oficialía Mayor,Secundaria General Emiliano Zapata,Prolongación,Avenida Hidalgo ,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42390,Urbana,Edificación,Secundaria General,Donación a favor de Gobierno del Estado de Hidalgo,6903315.88,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
641,13,Hidalgo,Oficialía Mayor,Preescolar General Julián Carrillo,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42390,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,517780.6212,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
642,13,Hidalgo,Oficialía Mayor,Primaria General Ignacio M. Altamirano,Prolongación,Prolongación Avenida Hidalgo ,136,sin número,Colonia,0001,Alfajayucan,06,Alfajayucan,42390,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,19174295.12,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
643,13,Hidalgo,Oficialía Mayor,Secundaria General Ramón López Velarde,Calle,Francisco González Bocanegra ,38,sin número,Colonia,0001,Martínez,07,Almoloya,43944,Urbana,Edificación,Secundaria General,Donación a favor de Gobierno del Estado de Hidalgo,11795027.22,
644,13,Hidalgo,Oficialía Mayor,Preescolar General Joséfina Ramos del Río,Calle,Álvaro Obregón ,12,sin número,Colonia,0001,Centro,07,Almoloya,43940,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,1201853.884,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
645,13,Hidalgo,Oficialía Mayor,Primaria General Gonzálo G. Agis,Calle,Álvaro Obregón ,5,sin número,Colonia,0001,Centro,07,Almoloya,43940,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,11634673.61,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
646,13,Hidalgo,Oficialía Mayor,Primaria General Joséfa O. de Domínguez,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43940,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,836358.7506,
647,13,Hidalgo,Oficialía Mayor,Primaria General Emiliano Zapata,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43940,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,10856278.44,
648,13,Hidalgo,Oficialía Mayor,Primaria General Leóna Vicario,Calle,Zaragoza Sur ,10,sin número,Colonia,0001,Almoloya,07,Almoloya,43940,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,1460999.636,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
649,13,Hidalgo,Oficialía Mayor,Preescolar General Mina de Dolores,Calle,Mina de Dolores ,4,sin número,Colonia,0001,Almoloya,07,Almoloya,43940,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,1765997.2,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
650,13,Hidalgo,Oficialía Mayor,Primaria General Cuauhtémoc,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43945,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,1483478.519,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
651,13,Hidalgo,Oficialía Mayor,Preescolar General Rosaura Zapata Cano,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43941,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,974382.9203,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
652,13,Hidalgo,Oficialía Mayor,Primaria General Miguel Hidalgo,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43941,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,9852647.43,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
653,13,Hidalgo,Oficialía Mayor,Telesecundaria 185,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43941,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,3198451.21,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
654,13,Hidalgo,Oficialía Mayor,Preescolar General Profesora Emma de Gante Jimenez,Calle,Benito Juárez,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43945,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,731840.8879,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
655,13,Hidalgo,Oficialía Mayor,Primaria General Miguel Hidalgo,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43940,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,1570734.899,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
656,13,Hidalgo,Oficialía Mayor,Primaria General Venustiano Carranza,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43940,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,5943237.703,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
657,13,Hidalgo,Oficialía Mayor,Preescolar General Maestro Vicente Lombardo Toledano,Calle,Benito Juárez,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43950,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,786952.4661,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
658,13,Hidalgo,Oficialía Mayor,Primaria General Lic. Manuel Gual Vidal,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43950,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,4075957.811,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
659,13,Hidalgo,Oficialía Mayor,Telesecundaria 351,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43950,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,5810599.524,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
660,13,Hidalgo,Oficialía Mayor,Preescolar General Mina El Lobo,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43946,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,539493.1781,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
661,13,Hidalgo,Oficialía Mayor,Primaria General Miguel Hidalgo,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43946,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,4540734.249,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
662,13,Hidalgo,Oficialía Mayor,Telesecundaria 572,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43946,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,7487243.067,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
663,13,Hidalgo,Oficialía Mayor,Primaria General Adolfo López Mateos,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43940,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,2050687.137,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
664,13,Hidalgo,Oficialía Mayor,Primaria General Benito Juárez,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43949,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,1800865.012,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
665,13,Hidalgo,Oficialía Mayor,Telesecundaria 184,Calle,Vicente Guerrero ,sin número,sin número,Colonia,0001,Almoloya,07,Almoloya,43949,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,2059946.904,
666,13,Hidalgo,Oficialía Mayor,Preescolar General Profesora Lilia Machuca Sinecio,Calle,Guerrero ,sin número,sin número,Colonia,0001,Apan,08,Apan,43920,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,892896.9716,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
667,13,Hidalgo,Oficialía Mayor,Preescolar General Juan Amos Comenio,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43730,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,623022.6616,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
668,13,Hidalgo,Oficialía Mayor,Primaria General Profr. Clemente Vergara,Calle,Centro de la localidad ,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43730,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,3260331.997,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
669,13,Hidalgo,Oficialía Mayor,Telesecundaria 766,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43730,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,1796394.78,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
670,13,Hidalgo,Oficialía Mayor,Preescolar Indígena         Luis de Velasco,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43734,Urbana,Edificación,Preescolar Indígena,Donación a favor de Gobierno del Estado de Hidalgo,391117.2276,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
671,13,Hidalgo,Oficialía Mayor,Primaria Indígena Gral. Lázaro Cárdenas,Calle,Tlatzintla ,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43734,Urbana,Edificación,Primaria Indígena,Donación a favor de Gobierno del Estado de Hidalgo,7084488.009,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
672,13,Hidalgo,Oficialía Mayor,Primaria Indígena Emiliano Zapata,Calle,Plaza Principal ,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43726,Urbana,Edificación,Primaria Indígena,Donación a favor de Gobierno del Estado de Hidalgo,1116791.749,
673,13,Hidalgo,Oficialía Mayor,Preescolar General José Luis Moya,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43721,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,787878.4428,
674,13,Hidalgo,Oficialía Mayor,Primaria General Justo Sierra,Calle,Plaza Juárez,2,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43721,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,4283344.659,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
675,13,Hidalgo,Oficialía Mayor,Telesecundaria 108,Camino, Principal a la Presa ,4,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43721,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,3032158.569,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
676,13,Hidalgo,Oficialía Mayor,Preescolar Indígena Leóna Vicario,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43720,Urbana,Edificación,Preescolar Indígena,Donación a favor de Gobierno del Estado de Hidalgo,695823.5877,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
677,13,Hidalgo,Oficialía Mayor,Primaria Indígena Rafael Rámirez,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Acaxochitlán,02,Acaxochitlán,43720,Urbana,Edificación,Primaria Indígena,Donación a favor de Gobierno del Estado de Hidalgo,2321391.633,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
678,13,Hidalgo,Oficialía Mayor,Secundaria General Miguel Hidalgo,Calle,Lerdo de Tejada ,151,sin número,Colonia,0001,Centro Sur,03,Actopan,42505,Urbana,Edificación,Secundaria General,Donación a favor de Gobierno del Estado de Hidalgo,33722474.56,
679,13,Hidalgo,Oficialía Mayor,Secundaria General Belisario Domínguez,Avenida, Belisario Domínguez ,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42600,Urbana,Edificación,Secundaria General,Donación a favor de Gobierno del Estado de Hidalgo,18425658.93,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
680,13,Hidalgo,Oficialía Mayor,Preescolar General Lic. Jorge Rojo Lugo,Calle,Lic. Verdad ,2,sin número,Colonia,0001,Chapultepec,03,Actopan,42504,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,2708322.169,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
681,13,Hidalgo,Oficialía Mayor,Preescolar General Gral. Lázaro Cárdenas,Calle,Independencia ,sin número,sin número,Colonia,0001,Obrera,03,Actopan,42505,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,3150428.143,
682,13,Hidalgo,Oficialía Mayor,Primaria General Narciso Mendoza,Calle,José María Mata ,8,sin número,Colonia,0001,Benito Juárez,03,Actopan,42505,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,3718913.971,
683,13,Hidalgo,Oficialía Mayor,Primaria General Efrén Rebolledo,Calle,Aquíles Serdán ,sin número,sin número,Colonia,0001,Obrera,03,Actopan,42505,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,5366833.178,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
684,13,Hidalgo,Oficialía Mayor,Primaria General Benito Juárez,Calle,Chapultepec ,sin número,sin número,Colonia,0001,Rojo Gómez,03,Actopan,42503,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,8063928.678,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
685,13,Hidalgo,Oficialía Mayor,Primaria General Centro Escolar 1940,Calle,Lerdo de Tejada ,3,sin número,Colonia,0001,Centro Sur,03,Actopan,42505,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,26714108.22,
686,13,Hidalgo,Oficialía Mayor,Primaria General Gral. Felipe Ángeles,Calle,Dr. Joaquín Cravioto ,45,sin número,Colonia,0001,Estación,03,Actopan,42500,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,13749157.34,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
687,13,Hidalgo,Oficialía Mayor,Secundaria Para Trabajadores Mártires de Rio Blanco,Carretera, México-Laredo,sin número,sin número,Colonia,0001,Aviación,03,Actopan,42506,Urbana,Edificación,Secundaria Para Trabajadores,Donación a favor de Gobierno del Estado de Hidalgo,2290332.663,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
688,13,Hidalgo,Oficialía Mayor,Secundaria Técnica Escuela Secundaria Técnica 61,Carretera, Actopan-Ixmiquilpan ,Kilómetro 1,sin número,Colonia,0001,Pozo Grande,03,Actopan,42505,Urbana,Edificación,Secundaria Técnica,Donación a favor de Gobierno del Estado de Hidalgo,6590399.619,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
689,13,Hidalgo,Oficialía Mayor,Preescolar General Silvia García de Alba,Avenida, Miguel Hidalgo ,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42602,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,463882.3918,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
690,13,Hidalgo,Oficialía Mayor,Primaria General Miguel Hidalgo,Avenida, Morelos ,2,sin número,Colonia,0001,Actopan,03,Actopan,42602,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,6103144.298,
691,13,Hidalgo,Oficialía Mayor,Telesecundaria 519,Calle,Lázaro Cárdenas ,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42602,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,3312569.855,
692,13,Hidalgo,Oficialía Mayor,Preescolar General José Ma. Luis Mora,Calle,Manzana ,1,sin número,Colonia,0001,Actopan,03,Actopan,42600,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,1100762.773,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
693,13,Hidalgo,Oficialía Mayor,Primaria General Adolfo Espinosa A.,Carretera, Actopan- Santiago  ,Kilómetro 8,sin número,Colonia,0001,Actopan,03,Actopan,42600,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,7114630.147,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
694,13,Hidalgo,Oficialía Mayor,Telesecundaria 391,Carretera, Actopan-Santiago de Anaya ,Kilómetro 8,sin número,Colonia,0001,Actopan,03,Actopan,42600,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,2011604.535,
695,13,Hidalgo,Oficialía Mayor,Preescolar General Emilia Abitia de Rossell,Carretera, A Tula,sin número,Manzana 2,Colonia,0001,2 (Centro),03,Actopan,42613,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,2155098.992,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
696,13,Hidalgo,Oficialía Mayor,Primaria General Teodomiro Manzano,Carretera,Actopan-Tula ,Kilómetro 2.5,sin número,Colonia,0001,2 (Centro),03,Actopan,42613,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,12859389.54,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
697,13,Hidalgo,Oficialía Mayor,Telesecundaria 594,Calle,Quinta Manzana ,sin número,sin número,Colonia,0001,2 (Centro),03,Actopan,42613,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,2923276.482,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
698,13,Hidalgo,Oficialía Mayor,Primaria General Emiliano Zapata,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42600,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,9539411.867,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
699,13,Hidalgo,Oficialía Mayor,Primaria General Benito Juárez,Calle,Plaza Principal ,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42603,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,4421698.349,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
700,13,Hidalgo,Oficialía Mayor,Preescolar General Carmelita González Hernández,Avenida,15 de Octubre ,sin número,sin número,Colonia,0001,Cañada Aviación,03,Actopan,42500,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,1054591.66,
701,13,Hidalgo,Oficialía Mayor,Primaria General Justo Sierra,Calle,Centro de la localidad ,sin número,sin número,Colonia,0001,Centro Norte,03,Actopan,42500,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,13723613.16,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
702,13,Hidalgo,Oficialía Mayor,Secundaria General Vicente Guerrero,Avenida, Insurgentes ,sin número,sin número,Colonia,0001,Domicilio conocido,03,Actopan,42601,Urbana,Edificación,Secundaria General,Donación a favor de Gobierno del Estado de Hidalgo,13099057.85,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
703,13,Hidalgo,Oficialía Mayor,Preescolar General Rafaela Calvillo Alatorre,Calle,Manzana,1,sin número,Colonia,0001,Actopan,03,Actopan,42601,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,1823663.197,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
704,13,Hidalgo,Oficialía Mayor,Primaria General Ignacio Zaragoza,Calle,Zaragoza ,3,sin número,Colonia,0001,Actopan,03,Actopan,42601,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,13565366.94,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
705,13,Hidalgo,Oficialía Mayor,Preescolar General Luis de la Brena,Calle,José María La Fragua ,6,sin número,Colonia,0001,Benito Juárez,03,Actopan,42505,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,2843514.766,
706,13,Hidalgo,Oficialía Mayor,Preescolar General Luis González Obregón,Calle,Manzana ,3,sin número,Colonia,0001,Actopan,03,Actopan,42616,Urbana,Edificación,Preescolar General,Donación a favor de Gobierno del Estado de Hidalgo,684456.4255,
707,13,Hidalgo,Oficialía Mayor,Primaria General Ignacio Manuel Altamirano,Calle,Domicilio conocido,sin número,sin número,Colonia,0001,Santa Ana Tzacuala,02,Acaxochitlán,43720,Urbana,Edificación,Primaria General,Donación a favor de Gobierno del Estado de Hidalgo,7464824.952,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
708,13,Hidalgo,Oficialía Mayor,Telesecundaria 560,Calle,Terraceria Santa Ana Tzacuala,sin número,sin número,Colonia,0001,Santa Ana Tzacuala,02,Acaxochitlán,43720,Urbana,Edificación,Telesecundaria,Donación a favor de Gobierno del Estado de Hidalgo,4997144.967,Contrato de Donación y Transmisión de Derechos Posesorios CD y TDP 2003 004 de fecha 16 de diciembre del 2003.
